video_path,prompt,clip_score
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A white cat walking on the grass - random path_zoomed_in.mp4,A white cat walking on the grass - random path_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A dog jumping on the grass - Random Path_zoomed_in.mp4,A dog jumping on the grass - Random Path_zoomed_in,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A horse galloping on the grass - Going Crazy_zoomed_in.mp4,A horse galloping on the grass - Going Crazy_zoomed_in,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - BL to TR_zoomed_in.mp4,A white cat walking on the grass - BL to TR_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - L shape_zoomed_in.mp4,A white cat walking on the grass - L shape_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - L to R_zoomed_in.mp4,A white cat walking on the grass - L to R_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - small movement_zoomed_in.mp4,A white cat walking on the grass - small movement_zoomed_in,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - stationary animation_zoomed_in.mp4,A white cat walking on the grass - stationary animation_zoomed_in,0.38
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - TL to BR_zoomed_in.mp4,A white cat walking on the grass - TL to BR_zoomed_in,0.36
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - TR to BL_zoomed_in.mp4,A white cat walking on the grass - TR to BL_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass(1)_zoomed_in.mp4,Copy of black cat on the grass(1)_zoomed_in,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass(2)_zoomed_in.mp4,Copy of black cat on the grass(2)_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass_zoomed_in.mp4,Copy of black cat on the grass_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the snow (1)_zoomed_in.mp4,Copy of black cat on the snow (1)_zoomed_in,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of golden dog on the grass_zoomed_in.mp4,Copy of golden dog on the grass_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of purple horse on the grass_zoomed_in.mp4,Copy of purple horse on the grass_zoomed_in,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of rainbow cat on the grass_zoomed_in.mp4,Copy of rainbow cat on the grass_zoomed_in,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of red cat on the grass_zoomed_in.mp4,Copy of red cat on the grass_zoomed_in,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of white cat on the grass_zoomed_in.mp4,Copy of white cat on the grass_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A car is running on the grass_0416_0152_zoomed_in.mp4,Copy of Copy of A car is running on the grass_0416_0152_zoomed_in,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A cow is walking on the grass_0416_0153_zoomed_in.mp4,Copy of Copy of A cow is walking on the grass_0416_0153_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A tiger is walking on the grass_0415_2045_zoomed_in.mp4,Copy of Copy of A tiger is walking on the grass_0415_2045_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A yello duck is walking on the grass_0415_2057_zoomed_in.mp4,Copy of Copy of A yello duck is walking on the grass_0415_2057_zoomed_in,0.34
"/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/A butterfly fluttered from flower to flower, pollinating as it went._04061746_4.mp4","A butterfly fluttered from flower to flower, pollinating as it went._04061746_4",0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/a macro video of a bee pollinating a flower_04061754_8.mp4,a macro video of a bee pollinating a flower_04061754_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/a macro video of a white butterfly pollinating a flower_04061757_8.mp4,a macro video of a white butterfly pollinating a flower_04061757_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A California Sheephead is swimming in a coral reef_3.mp4,A California Sheephead is swimming in a coral reef_3,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A dolphine is swimming in a coral reef_3.mp4,A dolphine is swimming in a coral reef_3,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A shark is swimming in a coral reef_3.mp4,A shark is swimming in a coral reef_3,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A tortoise is swimming in a coral reef_3.mp4,A tortoise is swimming in a coral reef_3,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/fish_br_tl/a clown fish is swimming in a sea_0407_0045_8.mp4,a clown fish is swimming in a sea_0407_0045_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/horse/a zebra is galloping on a street_04061955_8.mp4,a zebra is galloping on a street_04061955_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/rainbow_horse.mp4,rainbow_horse,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/white_cat.mp4,white_cat,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/white_cat_on_the_ocean.mp4,white_cat_on_the_ocean,0.32
